variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
1.099707484E+00,1.625663340E-01,1.084919691E+00,-1.322703660E-01,6.967606605E-04,1.251222100E-03,4.175966387E-05
1.099707484E+00,1.577961892E-01,1.083399653E+00,-1.306033581E-01,7.118580979E-04,1.310289372E-03,-1.124327582E-06
1.099707484E+00,1.528352499E-01,1.079902172E+00,-1.305407435E-01,9.026821353E-04,1.477150945E-03,-1.104564217E-04
1.099707484E+00,1.478743106E-01,1.073789597E+00,-1.329398304E-01,1.290809130E-03,1.615984482E-03,-2.846946009E-04
1.099707484E+00,1.429133713E-01,1.065674543E+00,-1.330411285E-01,1.892531407E-03,1.964183757E-03,-5.234680721E-04
1.099707484E+00,1.381432265E-01,1.055228472E+00,-1.340874583E-01,2.562930575E-03,2.379368758E-03,-7.568136207E-04
1.099707484E+00,1.331822872E-01,1.041480303E+00,-1.354981214E-01,3.462038701E-03,3.102007322E-03,-9.606368258E-04
1.099707484E+00,1.282213330E-01,1.023685217E+00,-1.392688453E-01,4.532219842E-03,3.854254261E-03,-1.156294020E-03
1.099707484E+00,1.234511957E-01,1.003292561E+00,-1.433900893E-01,5.917089060E-03,4.739735741E-03,-1.212316682E-03
1.099707484E+00,1.184902489E-01,9.838889241E-01,-1.466632783E-01,7.153178565E-03,5.485933740E-03,-1.552076545E-03
1.099707484E+00,1.135293022E-01,9.614465833E-01,-1.483839601E-01,8.793211542E-03,6.182906218E-03,-2.375381766E-03
1.099707484E+00,1.085683629E-01,9.339503646E-01,-1.490166634E-01,1.217466779E-02,7.152707782E-03,-3.780350788E-03
1.099707484E+00,1.037982181E-01,9.040971398E-01,-1.526021659E-01,1.641346514E-02,8.122338913E-03,-4.827799741E-03
1.099707484E+00,9.883727878E-02,8.692710996E-01,-1.529176533E-01,2.034627087E-02,1.045697927E-02,-5.845837761E-03
1.099707484E+00,9.387633204E-02,8.286986947E-01,-1.512451321E-01,2.381985262E-02,1.203707140E-02,-7.270168513E-03
1.099707484E+00,8.891538531E-02,7.888208628E-01,-1.505248249E-01,2.789909951E-02,1.441242825E-02,-9.714624844E-03
1.099707484E+00,8.414524794E-02,7.480668426E-01,-1.501975954E-01,3.384761885E-02,1.781320386E-02,-1.240261551E-02
1.099707484E+00,7.918430865E-02,6.958854198E-01,-1.480645090E-01,4.054223001E-02,2.075782605E-02,-1.531417482E-02
1.099707484E+00,7.422336191E-02,6.425257921E-01,-1.420938522E-01,4.764521495E-02,2.288685925E-02,-1.829955913E-02
1.099707484E+00,6.945322454E-02,5.927904844E-01,-1.409926862E-01,5.241854489E-02,2.403535694E-02,-2.002093010E-02
1.099707484E+00,6.449227780E-02,5.369784236E-01,-1.354607195E-01,5.275826529E-02,2.737832069E-02,-2.179890312E-02
1.099707484E+00,5.953133479E-02,4.794768393E-01,-1.273694187E-01,5.543290079E-02,2.978728712E-02,-2.453629114E-02
1.099707484E+00,5.457038805E-02,4.232798219E-01,-1.212258413E-01,5.741186440E-02,3.124652430E-02,-2.704272978E-02
1.099707484E+00,4.980025068E-02,3.723353446E-01,-1.176214516E-01,5.735791475E-02,3.220910951E-02,-2.707675099E-02
1.099707484E+00,4.483930394E-02,3.175250292E-01,-1.045298204E-01,5.744685605E-02,3.234222159E-02,-2.619576827E-02
1.099707484E+00,3.987836093E-02,2.587301731E-01,-8.746349812E-02,5.216252059E-02,3.171881288E-02,-2.435006574E-02
1.099707484E+00,3.510821983E-02,2.108602524E-01,-7.515826821E-02,4.699485004E-02,3.059804812E-02,-2.234549820E-02
1.099707484E+00,3.014727682E-02,1.729715317E-01,-6.627029181E-02,4.171586409E-02,2.797587961E-02,-1.901268214E-02
1.099707484E+00,2.518633381E-02,1.338589936E-01,-5.510404706E-02,3.699081019E-02,2.678154223E-02,-1.585377939E-02
1.099707484E+00,2.022538893E-02,9.889442474E-02,-4.393153265E-02,3.275674582E-02,2.495130710E-02,-1.335063204E-02
1.099707484E+00,1.545525063E-02,6.700482965E-02,-3.768349811E-02,2.664640360E-02,2.056337520E-02,-9.528450668E-03
1.099707484E+00,1.049430668E-02,4.260994121E-02,-3.506286442E-02,2.543523908E-02,1.551456749E-02,-6.131417118E-03
1.099707484E+00,5.533361807E-03,1.736395992E-02,-2.086124383E-02,2.343387716E-02,8.169494569E-03,-3.367007012E-03
