variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
8.994275928E-01,1.591318399E-01,1.118026137E+00,-1.243647411E-01,9.592936258E-04,2.733888570E-03,-1.391426340E-04
8.994275928E-01,1.541708857E-01,1.114073157E+00,-1.224193424E-01,1.267892309E-03,3.246747423E-03,-3.274332557E-04
8.994275928E-01,1.492099464E-01,1.111374259E+00,-1.227736771E-01,1.405647607E-03,3.749533789E-03,-5.214900011E-04
8.994275928E-01,1.444398016E-01,1.104178190E+00,-1.193324253E-01,1.954099629E-03,4.326852039E-03,-7.900339551E-04
8.994275928E-01,1.394788623E-01,1.095855355E+00,-1.189958677E-01,3.090241924E-03,5.045507569E-03,-1.233944553E-03
8.994275928E-01,1.345179081E-01,1.081145406E+00,-1.197089106E-01,4.531626590E-03,6.020222791E-03,-1.988336677E-03
8.994275928E-01,1.295569688E-01,1.067293048E+00,-1.198517382E-01,6.336037070E-03,6.879867520E-03,-3.050664905E-03
8.994275928E-01,1.247868314E-01,1.051300287E+00,-1.187587604E-01,9.872389026E-03,7.637424394E-03,-4.276058171E-03
8.994275928E-01,1.198258922E-01,1.027295470E+00,-1.204917356E-01,1.405229326E-02,9.583419189E-03,-6.139469799E-03
8.994275928E-01,1.148649380E-01,9.845353365E-01,-1.199050322E-01,2.085169032E-02,1.189385727E-02,-8.939372376E-03
8.994275928E-01,1.099039987E-01,9.339805841E-01,-1.186749116E-01,2.999133430E-02,1.448456198E-02,-1.298345253E-02
8.994275928E-01,1.049430594E-01,8.775953650E-01,-1.144812182E-01,3.596277907E-02,1.710035652E-02,-1.517954189E-02
8.994275928E-01,1.001729146E-01,7.973498106E-01,-1.054017618E-01,4.034484923E-02,2.093207464E-02,-1.742597669E-02
8.994275928E-01,9.521197528E-02,6.930033565E-01,-9.686401486E-02,4.608987272E-02,2.458551899E-02,-2.011638694E-02
8.994275928E-01,9.025102109E-02,5.961585641E-01,-9.155413508E-02,5.145297572E-02,2.628353052E-02,-2.198878303E-02
8.994275928E-01,8.529008180E-02,5.079089999E-01,-8.637150377E-02,5.277968198E-02,2.809511684E-02,-2.238063142E-02
8.994275928E-01,8.051995188E-02,4.234722853E-01,-7.036592066E-02,4.999174923E-02,2.972827666E-02,-2.107021585E-02
8.994275928E-01,7.555899769E-02,3.445238471E-01,-4.965997115E-02,4.727634043E-02,2.970343828E-02,-1.962380484E-02
8.994275928E-01,7.059805840E-02,2.701643407E-01,-3.492439538E-02,4.409647360E-02,2.987899072E-02,-1.856805384E-02
8.994275928E-01,6.563711166E-02,1.919815838E-01,-2.712144516E-02,4.061726108E-02,2.912849933E-02,-1.742946170E-02
8.994275928E-01,6.086697429E-02,1.240901425E-01,-2.403468266E-02,3.956642374E-02,2.670271881E-02,-1.644704118E-02
8.994275928E-01,5.590602756E-02,5.964418873E-02,-1.375210937E-02,4.083745182E-02,2.333931625E-02,-1.544732973E-02
8.994275928E-01,5.094508082E-02,5.272803362E-03,-5.246357992E-03,3.862981126E-02,2.079590037E-02,-1.387215219E-02
8.994275928E-01,4.598414153E-02,-3.695979714E-02,4.372948315E-03,3.516439721E-02,1.896297559E-02,-1.153535582E-02
8.994275928E-01,4.121399671E-02,-8.063500375E-02,1.160606928E-02,3.164271638E-02,1.762815751E-02,-9.644947946E-03
8.994275928E-01,3.625305369E-02,-1.217977181E-01,2.127806470E-02,2.866300382E-02,1.633130014E-02,-8.575764485E-03
8.994275928E-01,3.129211068E-02,-1.535077691E-01,2.541364171E-02,2.630027942E-02,1.528981701E-02,-8.288315497E-03
8.994275928E-01,2.633116581E-02,-1.834582537E-01,2.782393061E-02,2.283860743E-02,1.368563622E-02,-7.387238089E-03
8.994275928E-01,2.156102844E-02,-2.079745680E-01,2.892309241E-02,2.014817297E-02,1.227930561E-02,-6.346099079E-03
8.994275928E-01,1.660008356E-02,-2.296813577E-01,3.029560857E-02,1.816127077E-02,1.054030098E-02,-4.739503376E-03
8.994275928E-01,1.163913868E-02,-2.577902675E-01,3.686381504E-02,1.710804179E-02,6.730248220E-03,-2.482749289E-03
8.994275928E-01,6.678195205E-03,-2.086922526E-01,3.111872636E-02,1.243841927E-02,3.889505286E-03,-1.690689591E-03
