variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
6.597265601E-01,1.569835395E-01,1.143181562E+00,-1.210097075E-01,3.081237897E-03,1.238749712E-03,-6.765827420E-04
6.597265601E-01,1.552255452E-01,1.137611628E+00,-1.219758019E-01,3.139638575E-03,1.299523865E-03,-7.591869798E-04
6.597265601E-01,1.533876359E-01,1.132245898E+00,-1.225368157E-01,3.353286069E-03,1.330800354E-03,-7.744981558E-04
6.597265601E-01,1.516296417E-01,1.126975656E+00,-1.231350228E-01,3.384805750E-03,1.320427167E-03,-8.500666008E-04
6.598064303E-01,1.497917324E-01,1.122845054E+00,-1.258865744E-01,3.427424934E-03,1.327288221E-03,-8.318600594E-04
6.598064303E-01,1.480337381E-01,1.117110729E+00,-1.288479567E-01,3.328511259E-03,1.315874979E-03,-7.578199147E-04
6.598064303E-01,1.461958289E-01,1.110918045E+00,-1.303149462E-01,3.349069972E-03,1.346061472E-03,-7.264115848E-04
6.598064303E-01,1.443579346E-01,1.106092453E+00,-1.316861957E-01,3.424103139E-03,1.382194110E-03,-7.447319222E-04
6.598064303E-01,1.425999403E-01,1.100439191E+00,-1.344975978E-01,3.416861175E-03,1.388148288E-03,-7.874476141E-04
6.598064303E-01,1.407620311E-01,1.096553683E+00,-1.376976967E-01,3.404418705E-03,1.357406843E-03,-7.891940768E-04
6.598064303E-01,1.390040368E-01,1.091863513E+00,-1.403954923E-01,3.434694838E-03,1.336990274E-03,-7.884067018E-04
6.598863602E-01,1.371661276E-01,1.087181091E+00,-1.434172094E-01,3.359743394E-03,1.305913203E-03,-7.900049095E-04
6.598863602E-01,1.354081333E-01,1.082993984E+00,-1.471967846E-01,3.479173873E-03,1.257112599E-03,-8.323022630E-04
6.598863602E-01,1.335702240E-01,1.077179670E+00,-1.511031538E-01,3.477013437E-03,1.194209326E-03,-8.320232737E-04
6.598863602E-01,1.318122298E-01,1.071004748E+00,-1.548137069E-01,3.624782898E-03,1.179562998E-03,-8.524519508E-04
6.598863602E-01,1.299743205E-01,1.063754082E+00,-1.582282335E-01,3.778177314E-03,1.166282222E-03,-9.353709174E-04
6.598863602E-01,1.282163262E-01,1.055895686E+00,-1.615289599E-01,3.976393957E-03,1.146530150E-03,-9.270837181E-04
6.599662900E-01,1.263784319E-01,1.043024659E+00,-1.655611992E-01,4.487144761E-03,1.103702351E-03,-9.725385462E-04
6.599662900E-01,1.245405227E-01,1.022417426E+00,-1.695201695E-01,5.466638133E-03,1.112774946E-03,-1.183025423E-03
6.599662900E-01,1.227825209E-01,9.918917418E-01,-1.712608188E-01,6.976875942E-03,1.182600157E-03,-1.609123196E-03
6.599662900E-01,1.209446192E-01,9.404744506E-01,-1.709372848E-01,8.592188358E-03,1.386430347E-03,-2.239122288E-03
6.599662900E-01,1.191866249E-01,8.634092808E-01,-1.659271717E-01,9.873121046E-03,1.582494471E-03,-2.654740587E-03
6.599662900E-01,1.173487157E-01,7.517389655E-01,-1.553993374E-01,9.960605763E-03,1.601231867E-03,-2.726015635E-03
6.599662900E-01,1.155907214E-01,5.761821866E-01,-1.338756084E-01,1.031220146E-02,1.533386647E-03,-2.938376507E-03
6.600461602E-01,1.137528196E-01,3.920281827E-01,-9.254670888E-02,1.818214916E-02,2.144786296E-03,-5.355103407E-03
