variables="x/c","y/c","u/Uinf","v/Uinf","uu/Uinf^2","vv/Uinf^2","uv/Uinf^2"
8.005902767E-01,1.591318399E-01,1.118781924E+00,-7.577054948E-02,1.334464876E-03,1.961446367E-03,-5.109960330E-04
8.005902767E-01,1.541708857E-01,1.109796882E+00,-7.939794660E-02,1.481487881E-03,2.241280163E-03,-6.890632794E-04
8.005902767E-01,1.492099464E-01,1.102667212E+00,-8.445422351E-02,1.671347185E-03,2.530284924E-03,-7.642512210E-04
8.005902767E-01,1.444398016E-01,1.094539404E+00,-8.845433593E-02,1.876188675E-03,2.975091804E-03,-8.047596202E-04
8.005902767E-01,1.394788623E-01,1.085883975E+00,-8.624641597E-02,2.439148491E-03,3.543233266E-03,-9.291673778E-04
8.005902767E-01,1.345179081E-01,1.073895216E+00,-8.440691233E-02,3.254766343E-03,3.826464526E-03,-1.211872208E-03
8.005902767E-01,1.295569688E-01,1.060120702E+00,-8.364355564E-02,4.287549760E-03,4.298174288E-03,-1.284118276E-03
8.005902767E-01,1.247868314E-01,1.039624095E+00,-8.413280547E-02,6.318210624E-03,5.061702803E-03,-1.867426326E-03
8.005902767E-01,1.198258922E-01,1.008460641E+00,-8.298997581E-02,1.077098772E-02,6.944452412E-03,-4.143089987E-03
8.005902767E-01,1.148649380E-01,9.523173571E-01,-8.557058126E-02,1.999501325E-02,8.832225576E-03,-7.587511092E-03
8.005902767E-01,1.099039987E-01,8.542684913E-01,-8.853410929E-02,3.265289962E-02,1.179325487E-02,-1.279073395E-02
8.005902767E-01,1.049430594E-01,7.158241868E-01,-7.747742534E-02,4.460152239E-02,1.592389867E-02,-1.876402646E-02
8.005902767E-01,1.001729146E-01,5.668497086E-01,-6.114522740E-02,4.697216302E-02,1.846550032E-02,-2.034199610E-02
8.005902767E-01,9.521197528E-02,4.225071371E-01,-4.188818112E-02,4.184388742E-02,2.012320422E-02,-1.946179383E-02
8.005902767E-01,9.025102109E-02,2.997667491E-01,-2.578705177E-02,3.593063354E-02,2.200611681E-02,-1.822904311E-02
8.005902767E-01,8.529008180E-02,2.037411183E-01,-6.569190882E-03,3.129268065E-02,2.179160714E-02,-1.597127505E-02
8.005902767E-01,8.051995188E-02,1.329764128E-01,1.027817931E-02,2.560742944E-02,1.921496540E-02,-1.268040668E-02
8.005902767E-01,7.555899769E-02,6.863341480E-02,2.669456787E-02,1.954352669E-02,1.597674191E-02,-8.610100485E-03
8.005902767E-01,7.059805840E-02,2.111947909E-02,3.970529139E-02,1.636936702E-02,1.212624926E-02,-6.039974745E-03
8.005902767E-01,6.563711166E-02,-1.620878465E-02,4.760367051E-02,1.419583987E-02,1.013049856E-02,-4.772617482E-03
8.005902767E-01,6.086697429E-02,-4.310442135E-02,5.199303478E-02,1.349069364E-02,9.430889972E-03,-4.436485469E-03
8.005902767E-01,5.590602756E-02,-6.405300647E-02,5.649575219E-02,1.293213386E-02,8.717050776E-03,-4.419308156E-03
8.005902767E-01,5.094508082E-02,-8.466589451E-02,6.133150682E-02,1.325056702E-02,7.672771811E-03,-4.604336806E-03
8.005902767E-01,4.598414153E-02,-1.029416695E-01,6.378927827E-02,1.310375519E-02,6.174115464E-03,-4.459286109E-03
8.005902767E-01,4.121399671E-02,-1.174789667E-01,6.375358254E-02,1.334063150E-02,5.178882740E-03,-4.253517836E-03
8.005902767E-01,3.625305369E-02,-1.221089587E-01,6.043719500E-02,1.356347557E-02,3.942646552E-03,-3.927685320E-03
8.005902767E-01,3.129211068E-02,-1.213975474E-01,4.602875561E-02,1.218008529E-02,2.533267951E-03,-3.121029818E-03
8.005902767E-01,2.633116581E-02,-5.250500143E-02,8.073410019E-03,4.974067677E-03,1.256481162E-03,-6.028166972E-04
